"station_id","station_name","latitude","longitude","elevation","tz"
319701,"WHITEVILLE",34.33591,-78.72852,100,"America/New_York"
411102,"LINDEN",33.005,-94.35778,500,"America/Chicago"
360271,"GARDEN HOLLOW",41.02556,-77.16722,1644,"America/New_York"
403101,"CHUCK SWAN SF",36.37139,-83.89278,1657,"America/New_York"
85301,"AVON PARK AF RANGE 1",27.59533,-81.21303,-17,"America/New_York"
154401,"KOOMER",37.78121,-83.6325,1300,"America/New_York"
99801,"OKE-EAST",30.74028,-82.12778,69,"America/New_York"
403801,"DYERSBURG",35.99,-89.40583,208,"America/Chicago"
492012,"WAIANAE VALLEY",21.48072,-158.15488,866,"Pacific/Honolulu"
490306,"KAHUKU TRAINING AREA",21.67917,-157.98944,596,"Pacific/Honolulu"
413509,"LUFKIN",31.31222,-94.82583,158,"America/Chicago"
411901,"CADDO LAKE",32.65833,-94.11639,200,"America/Chicago"
412801,"LUMBERJACK",31.75917,-94.65806,412,"America/Chicago"
314201,"GRANDFATHER",35.7675,-82.04,1720,"America/New_York"
449801,"GDR",36.61293,-76.55425,38,"America/New_York"
410501,"TEXARKANA",33.37389,-94.04556,200,"America/Chicago"
319302,"TURNBULL CREEK",34.68306,-78.58167,100,"America/New_York"
40203,"BLUE RIDGE (KNF)",41.26909,-123.18897,5859,"America/Los_Angeles"
490302,"MAKUA RIDGE",21.54278,-158.19889,1750,"Pacific/Honolulu"
84802,"LAKE WALES",27.43639,-81.38972,141,"America/New_York"
495006,"MOLOAA DAIRY",22.18333,-159.3375,338,"Pacific/Honolulu"
313001,"GREENS CROSS",36.01766,-76.89126,42,"America/New_York"
128905,"TIPSAW LAKE",38.13583,-86.64111,718,"America/Indiana/Tell_City"
270301,"WHITE MTN NF",43.98047,-71.13264,460,"America/New_York"
415109,"CONROE",30.2362,-95.48305,123,"America/Chicago"
43212,"BLUE MTN LOOKOUT",38.34233,-120.36469,6043,"America/Los_Angeles"
151191,"GREENVILLE",37.2734,-87.20219,552,"America/Chicago"
42615,"STEELY FORK",38.62609,-120.52785,4010,"America/Los_Angeles"
98801,"STERLING",31.25694,-81.61056,13,"America/New_York"
40517,"SCORPION",41.10948,-122.69747,3365,"America/Los_Angeles"
360751,"INDIANTOWN RUN",40.459,-76.617,710,"America/New_York"
310301,"RAVEN KNOB (SURRY CTY)",36.47556,-80.85694,1300,"America/New_York"
191204,"CAMP EDWARDS RAWS",41.70719,-70.56414,281,"America/New_York"
384101,"ACE BASIN",32.65833,-80.39889,9,"America/New_York"
99701,"WAYCROSS",31.24667,-82.40139,136,"America/New_York"
280311,"RINGWOOD",41.11806,-74.24028,567,"America/New_York"
40519,"UNDERWOOD",40.72149,-123.49629,2625,"America/Los_Angeles"
92702,"WATKINSVILLE",33.88889,-83.41833,785,"America/New_York"
119501,"DIXON SPRINGS",37.43667,-88.66722,540,"America/Chicago"
311503,"ELIZABETH CITY",36.34686,-76.27808,15,"America/New_York"
239102,"DONIPHAN",36.64617,-90.78022,635,"America/Chicago"
41408,"LYONS VALLEY",39.12583,-123.07333,3355,"America/Los_Angeles"
313601,"TAYLORSVILLE (LENOIR)",35.91167,-81.1375,1190,"America/New_York"
